Fairfax,1145862
Prince William,461423
Virginia Beach,450201
Loudoun,395134
Chesterfield,343551
Henrico,327535
Norfolk,244601
Chesapeake,239982
Arlington,233464
Richmond City,226622
Newport News,179673
Alexandria,157613
Stafford,146773
Hampton,135041
Spotsylvania,132833
Albemarle,107405
Hanover,105537
Roanoke County,99229
Montgomery,98140
Portsmouth,95097
Roanoke City,93823
Suffolk,90093
Frederick,86415
Lynchburg,80569
Rockingham,80284
Bedford,78376
Augusta,75079
James City,74916
Fauquier,69728
York,67982
Pittsylvania,61256
Franklin County,56187
Campbell,55225
Washington,54071
Harrisonburg,53273
Henry,51308
Culpeper,51101
Charlottesville,47096
Shenandoah,43224
Tazewell,41603
Manassas City,41174
Danville,41070
Warren,39492
Wise,38486
Prince George,38114
Gloucester,37222
Isle of Wight,36627
Louisa,36040
Orange,36010
Halifax,34552
Pulaski,34182
Botetourt,33343
Accomack,32673
Amherst,31775
Petersburg,31362
Smyth,30767
Mecklenburg,30728
Caroline,30381
Carroll,29801
Wythe,28844
Powhatan,28815
Fredericksburg,28622
Dinwiddie,28485
Winchester,27897
Russell,27141
Fluvanna,26594
King George,26229
Salem,25317
Staunton,24432
Lee,23948
Page,23788
Fairfax City,23531
Prince Edward,22905
Goochland,22865
Rockbridge,22570
Hopewell,22456
Waynesboro,22140
Scott,21902
Buchanan,21788
New Kent,21686
Greene,19519
Southampton,17880
Westmoreland,17751
Patrick,17748
Radford,17691
Colonial Heights,17428
Buckingham,17059
Manassas Park,16986
Bristol,16912
Giles,16772
King William,16688
Brunswick,16520
Grayson,15742
Appomattox,15707
Floyd,15704
Nottoway,15433
Alleghany,15157
Williamsburg,14927
Nelson,14831
Dickenson,14756
Clarke,14423
Falls Church,14128
Madison,13170
Amelia,12953
Martinsville,12852
Lunenburg,12282
Northumberland,12190
Poquoson,12090
Charlotte,12040
Northampton,11885
Greensville,11525
Sussex,11377
Essex,10998
Lancaster,10724
Middlesex,10675
Cumberland,9824
Richmond County,8884
Mathews,8788
Franklin City,8147
Rappahannock,7378
Lexington,7241
King and Queen,7042
Charles City,7014
Surry,6523
Galax,6517
Buena Vista City,6484
Bland,6388
Covington,5598
Emporia,5442
Craig,5110
Bath,4307
Norton,3970
Highland,2204
